chain,n,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
Ising,3,0.0,0.0005,parallelGibbs,57084769,1069579,1.0834766661594966,1.083482654290482,5.526774292885506e-06
Ising,3,0.0,0.0005,superGibbs,33513919,1069579,1.0834766661594966,1.0834860270017221,8.639634353047043e-06
Ising,2,0.0,0.25,Kolmogorov,595615,223555,1.1931465266106402,,
Ising,2,0.0,0.25,parallelGibbs,172676,169712,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.25,superGibbs,171252,169712,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.1,Kolmogorov,2506208,259964,1.1931465266106402,,
Ising,2,0.0,0.1,parallelGibbs,182816,169712,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.1,superGibbs,173100,169712,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.075,Kolmogorov,4323750,277864,1.1931465266106402,,
Ising,2,0.0,0.075,parallelGibbs,194516,169712,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.075,superGibbs,176950,169712,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.05,Kolmogorov,9686923,302023,1.1931465266106402,,
Ising,2,0.0,0.05,parallelGibbs,229460,169712,1.1931465266106402,1.174150314160342,-0.015921106106104643
Ising,2,0.0,0.05,superGibbs,190502,169712,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.025,Kolmogorov,40456367,325403,1.1931465266106402,,
Ising,2,0.0,0.025,parallelGibbs,413930,169712,1.1931465266106402,1.193329387613481,0.00015325946877631225
Ising,2,0.0,0.025,superGibbs,257954,169712,1.1931465266106402,1.1928861413252876,-0.00021823412258703545
Ising,2,0.0,0.01,Kolmogorov,278487000,363300,1.1931465266106402,,
Ising,2,0.0,0.01,parallelGibbs,1317755,169712,1.1931465266106402,1.1930632112125084,-6.982830379476113e-05
Ising,2,0.0,0.01,superGibbs,781862,169712,1.1931465266106402,1.1931767620628206,2.5340938020645964e-05
Ising,2,0.0,0.0075,Kolmogorov,510827753,389279,1.1931465266106402,,
Ising,2,0.0,0.0075,parallelGibbs,1792814,169712,1.1931465266106402,1.1931318639890114,-1.2289036846580004e-05
Ising,2,0.0,0.0075,superGibbs,1039658,169712,1.1931465266106402,1.1931103390323698,-3.032953410442296e-05
Ising,2,0.0,0.005,Kolmogorov,1203283379,394055,1.1931465266106402,,
Ising,2,0.0,0.005,parallelGibbs,2688722,169712,1.1931465266106402,1.1931492963198982,2.321348800071732e-06
Ising,2,0.0,0.005,superGibbs,1498039,169712,1.1931465266106402,1.1930514779956525,-7.96621478317272e-05
Ising,2,0.0,0.0025,Kolmogorov,5188459668,421116,1.1931465266106402,,
Ising,2,0.0,0.0025,parallelGibbs,5454017,169712,1.1931465266106402,1.1930952381833855,-4.298585807438471e-05
Ising,2,0.0,0.0025,superGibbs,3039040,169712,1.1931465266106402,1.193161262024285,1.2350045293096912e-05
