chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.0075,superGibbs (McMcPro),1706932,58398,1.379741516891444,1.3796651605203822,-5.534106941551542e-05
logical,3,7,0.1,0.0075,superGibbs,1992374,58398,1.379741516891444,1.3798124751683303,5.1428674151976494e-05
logical,3,7,0.1,0.005,Kolmogorov,1046304840,103860,1.379741516891444,,
logical,3,7,0.1,0.005,parallelGibbs (McMcPro),4015867,58398,1.379741516891444,1.379943316200408,0.00014625877854190783
logical,3,7,0.1,0.005,parallelGibbs,3737746,58398,1.379741516891444,1.379677662300214,-4.628011149054867e-05
logical,3,7,0.1,0.005,superGibbs (McMcPro),2810452,58398,1.379741516891444,1.3796367446558695,-7.593613317558034e-05
logical,3,7,0.1,0.005,superGibbs,3206686,58398,1.379741516891444,1.379777816645732,2.630909764156364e-05
logical,3,7,0.1,0.0025,Kolmogorov,4139743368,104880,1.379741516891444,,
logical,3,7,0.1,0.0025,parallelGibbs (McMcPro),10842943,58398,1.379741516891444,1.3797556246980491,1.0224963467697634e-05
logical,3,7,0.1,0.0025,parallelGibbs,9188623,58398,1.379741516891444,1.3796479739894907,-6.779741046281096e-05
logical,3,7,0.1,0.0025,superGibbs (McMcPro),6689080,58398,1.379741516891444,1.379580426009617,-0.00011675439193126191
logical,3,7,0.1,0.0025,superGibbs,6639170,58398,1.379741516891444,1.379642485835601,-7.177507861488852e-05
logical,3,7,0.1,0.001,Kolmogorov,25975040522,123554,1.379741516891444,,
logical,3,7,0.1,0.001,parallelGibbs (McMcPro),49508489,58398,1.379741516891444,1.3796831550075124,-4.229914314901606e-05
logical,3,7,0.1,0.001,parallelGibbs,32760070,58398,1.379741516891444,1.3796488079234006,-6.719299731750006e-05
logical,3,7,0.1,0.001,superGibbs (McMcPro),22655493,58398,1.379741516891444,1.3796700621643396,-5.178848808240488e-05
logical,3,7,0.1,0.001,superGibbs,20446502,58398,1.379741516891444,1.3797328843632688,-6.2566271069597335e-06
logical,3,7,0.1,0.0005,Kolmogorov,67410656424,128004,1.379741516891444,,
logical,3,7,0.1,0.0005,parallelGibbs (McMcPro),172919266,58398,1.379741516891444,1.3797341801732974,-5.3174584201398645e-06
logical,3,7,0.1,0.0005,parallelGibbs,101614079,58398,1.379741516891444,1.3797622019831315,1.4992004976566164e-05
logical,3,7,0.1,0.0005,superGibbs (McMcPro),67197673,58398,1.379741516891444,1.3796685142680127,-5.2910362221880725e-05
logical,3,7,0.1,0.0005,superGibbs,50121158,58398,1.379741516891444,1.3797266955314313,-1.0742128022656061e-05
logical,3,7,0.1,0.025,Kolmogorov,25363133,83681,1.400565103399715,,
logical,3,7,0.1,0.025,parallelGibbs,610771,62540,1.400565103399715,1.3998087772977637,-0.0005400149554743994
logical,3,7,0.1,0.025,superGibbs,638572,62540,1.400565103399715,1.4005315879903044,-2.3929918951504092e-05
logical,3,6,0.1,0.025,Kolmogorov,14839142,54050,1.2379963242232557,,
logical,3,6,0.1,0.025,parallelGibbs,242876,30722,1.2379963242232557,1.2386101952239832,0.0004958585003171923
logical,3,6,0.1,0.025,superGibbs,88896,30722,1.2379963242232557,1.2366706951080253,-0.0010707859864301783
logical,10,20,0.1,0.025,Kolmogorov,247413958,663658,1.7476791597434491,,
logical,10,20,0.1,0.025,parallelGibbs,7005507,486164,1.7476791597434491,1.7481174612102213,0.00025079057808108374
logical,10,20,0.1,0.025,superGibbs,8657921,486164,1.7476791597434491,1.748107514958694,0.00024509945824835455
logical,5,9,0.1,0.025,Kolmogorov,31022603,137303,1.366702750721792,,
logical,5,9,0.1,0.025,parallelGibbs,836336,103234,1.366702750721792,1.366811351775103,7.946208731479665e-05
logical,5,9,0.1,0.025,superGibbs,862734,103234,1.366702750721792,1.3662542826941813,-0.0003281386734415026
logical,5,9,0.1,0.025,Kolmogorov,45701778,190794,1.5295499126105507,,
logical,5,9,0.1,0.025,parallelGibbs,1850035,141414,1.5295499126105507,1.5293589981101423,-0.00012481743736136863
logical,5,9,0.1,0.025,superGibbs,1970607,141414,1.5295499126105507,1.5293167265791046,-0.00015245401900498834
logical,5,11,0.1,0.025,Kolmogorov,44390866,181714,1.4715198444104853,,
logical,5,11,0.1,0.025,parallelGibbs,1555684,137862,1.4715198444104853,1.47106980713251,-0.00030583160647468244
logical,5,11,0.1,0.025,superGibbs,1753893,137862,1.4715198444104853,1.4715056564644886,-9.641695319695387e-06
logical,5,10,0.1,0.025,Kolmogorov,57922648,163816,1.4141797989666882,,
logical,5,10,0.1,0.025,parallelGibbs,1108857,109628,1.4141797989666882,1.4140899045444886,-6.356647313543462e-05
logical,5,10,0.1,0.025,superGibbs,992449,109628,1.4141797989666882,1.4151348996176203,0.0006753742711003152
logical,5,11,0.1,0.025,Kolmogorov,70263690,190590,1.5004527900973037,,
