chain,n,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
Ising,3,0.0,0.001,superGibbs,16205637,1084673,1.0834766661594966,1.0834661511886678,-9.70484289797291e-06
Ising,3,0.0,0.0005,Kolmogorov,292894441658,2901074,1.0834766661594966,,
Ising,3,0.0,0.0005,parallelGibbs,58498907,1084673,1.0834766661594966,1.0834734297380955,-2.9870706976797834e-06
Ising,3,0.0,0.0005,superGibbs,32054345,1084673,1.0834766661594966,1.0834825321032133,5.414000965542343e-06
Ising,2,0.0,0.25,Kolmogorov,596648,224588,1.1931465266106402,,
Ising,2,0.0,0.25,parallelGibbs,176590,173626,1.1931465266106402,1.1618342427282828,-0.026243452236588194
Ising,2,0.0,0.25,superGibbs,175166,173626,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.1,Kolmogorov,3632207,264227,1.1931465266106402,,
Ising,2,0.0,0.1,parallelGibbs,191020,173626,1.1931465266106402,1.1618342427282828,-0.026243452236588194
Ising,2,0.0,0.1,superGibbs,177014,173626,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.075,Kolmogorov,4331401,282343,1.1931465266106402,,
Ising,2,0.0,0.075,parallelGibbs,204436,173626,1.1931465266106402,1.1680473116675547,-0.021036154724755063
Ising,2,0.0,0.075,superGibbs,180864,173626,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.05,Kolmogorov,9669831,291819,1.1931465266106402,,
Ising,2,0.0,0.05,parallelGibbs,245776,173626,1.1931465266106402,1.1841967635185868,-0.007500975691122291
Ising,2,0.0,0.05,superGibbs,194416,173626,1.1931465266106402,1.161834242728283,-0.026243452236587972
Ising,2,0.0,0.025,Kolmogorov,40457892,326928,1.1931465266106402,,
Ising,2,0.0,0.025,parallelGibbs,466750,173626,1.1931465266106402,1.191004381040583,-0.0017953751046339006
Ising,2,0.0,0.025,superGibbs,261868,173626,1.1931465266106402,1.1926015410556652,-0.0004567633084623379
Ising,2,0.0,0.01,Kolmogorov,278330576,369284,1.1931465266106402,,
Ising,2,0.0,0.01,parallelGibbs,1250806,173626,1.1931465266106402,1.192946828124118,-0.00016737130106692089
Ising,2,0.0,0.01,superGibbs,785776,173626,1.1931465266106402,1.1930089489893794,-0.00011530655974978377
Ising,2,0.0,0.0075,Kolmogorov,511102990,376864,1.1931465266106402,,
Ising,2,0.0,0.0075,parallelGibbs,1729648,173626,1.1931465266106402,1.1930374208268288,-9.14437425563186e-05
Ising,2,0.0,0.0075,superGibbs,1043572,173626,1.1931465266106402,1.1932359158862984,7.491894219580075e-05
Ising,2,0.0,0.005,Kolmogorov,1202004949,405241,1.1931465266106402,,
Ising,2,0.0,0.005,parallelGibbs,2746417,173626,1.1931465266106402,1.1931515721825507,4.228794869609587e-06
Ising,2,0.0,0.005,superGibbs,1501953,173626,1.1931465266106402,1.193039345381385,-8.983073483836979e-05
